TeamId,TeamName,SubmissionDate,Score
208237,"Mateusz Opala","2015-08-14 14:51:39",0.50000
208238,"Eric Couto & NxGTR","2015-08-14 14:52:59",0.50000
208243,_gpa_JvV_,"2015-08-14 15:12:38",0.50000
208781,"New Model Army","2015-08-14 16:13:59",0.74146
208263,Leonardo,"2015-08-14 16:40:20",0.50000
208267,"Euclides Filho","2015-08-14 16:52:47",0.50000
208270,"Mujtaba Hasan","2015-08-14 17:13:39",0.50005
208276,Victor,"2015-08-14 17:31:20",0.50231
208284,alex,"2015-08-14 17:36:09",0.50000
208281,mru,"2015-08-14 17:36:25",0.50000
208291,"Lawrence Chernin","2015-08-14 17:51:58",0.50000
222711,"Georgi Gospodinov & Mark Conway","2015-08-14 17:57:48",0.50000
208300,Telcontar120,"2015-08-14 18:02:03",0.50000
208308,"Subhajit Mandal.","2015-08-14 18:13:18",0.49878
208308,"Subhajit Mandal.","2015-08-14 18:18:54",0.50000
208319,azneye,"2015-08-14 18:26:49",0.50000
208311,Mathn,"2015-08-14 18:45:09",0.50000
208334,Springbreaker,"2015-08-14 18:53:13",0.66731
208333,"Sang Venkatraman","2015-08-14 18:53:47",0.50000
208313,cud155,"2015-08-14 18:55:21",0.50000
208334,Springbreaker,"2015-08-14 19:01:38",0.68630
208344,mpekalski,"2015-08-14 19:18:37",0.74174
208348,Rhostam,"2015-08-14 19:30:26",0.57566
208300,Telcontar120,"2015-08-14 19:35:45",0.73503
208321,adaquant,"2015-08-14 19:41:20",0.50000
208353,Jeffrie,"2015-08-14 19:47:06",0.50000
208356,RKR,"2015-08-14 19:47:24",0.50000
208363,Uisek,"2015-08-14 20:10:26",0.50000
208371,binga,"2015-08-14 20:20:01",0.50000
208368,"Ruslan Dautkhanov","2015-08-14 20:22:43",0.49926
208374,khattab,"2015-08-14 20:29:00",0.75257
208375,peweuow,"2015-08-14 20:34:53",0.50000
208379,mhoosa,"2015-08-14 20:46:48",0.59775
208377,shishir,"2015-08-14 20:52:40",0.59775
208382,"~ :- {","2015-08-14 21:06:15",0.50000
208385,kish,"2015-08-14 21:09:55",0.56198
208387,SeaBreeze,"2015-08-14 21:13:01",0.72024
208390,"Action Jackson","2015-08-14 21:17:15",0.65206
208344,mpekalski,"2015-08-14 21:17:49",0.75289
208391,Citril,"2015-08-14 21:20:57",0.50000
